1;1;529427;37.2;60;42;2;3;2;4;43;6.6;1;1;2209;1
1;1;529663;38.2;64;28;1;1;1;4;49;8.6;1;1;2208;1
2;1;528904;38.2;96;60;3;4;1;4;60;6;2;1;4205;1
1;1;529424;37.8;48;28;1;1;2;1;46;5.9;1;2;0;1
1;1;528469;38.1;52;24;1;1;2;1;54;7.5;2;1;2112;1
1;1;532349;38.4;44;24;3;3;2;4;50;77;1;1;3205;0
2;1;529840;37.6;48;20;3;3;2;1;37;5.5;3;1;2205;0
1;1;5262541;37.4;50;32;3;1;2;1;45;7.9;1;1;2208;0
1;1;535196;37.3;90;40;3;3;2;1;65;50;3;1;3205;0
1;1;534280;38.5;104;40;3;4;1;1;30;6;1;1;2124;0
2;1;528620;36.9;50;40;2;2;3;1;37.5;6.5;1;2;3111;0
